Date,Open,High,Low,Close,SMAVG5,SMAVG10,SMAVG30,Volume
12/1/1999,1457.63,1470.99,1452.14,1469.16,1476.23,1483.67,1445.29,6980200
12/2/1999,1469.16,1479.89,1467.06,1479.37,1473.09,1481.96,1449.35,6698300
12/3/1999,1478.85,1521.27,1475.44,1506.08,1477.96,1482.98,1453.91,10045400
12/6/1999,1506.08,1510.53,1488.8,1493.25,1481.1,1482.8,1458.25,3138900
12/7/1999,1492.73,1499.01,1479.11,1483.04,1486.18,1483.19,1462.8,10714200
12/8/1999,1482.51,1485.13,1470.2,1472.3,1486.81,1481.52,1466.29,4611400
12/9/1999,1469.46,1486.26,1457.57,1477.73,1486.48,1479.78,1468.4,6474700
12/10/1999,1479.02,1492.46,1472.82,1484.71,1482.2,1480.08,1469.83,5127300
12/13/1999,1483.67,1491.69,1478.24,1485.22,1480.6,1480.85,1471.76,4210800
12/14/1999,1484.45,1496.6,1469.46,1473.59,1478.71,1482.44,1473.66,5739000
12/15/1999,1474.37,1486.77,1463.25,1477.21,1479.69,1483.25,1475.39,6879100
12/16/1999,1476.44,1490.14,1475.4,1486,1481.35,1483.91,1477.14,5854900
12/17/1999,1486.26,1499.96,1483.41,1493.24,1483.05,1482.63,1478.59,4775400
12/20/1999,1490.39,1497.89,1477.73,1483.67,1482.74,1481.67,1479.74,4608700
12/21/1999,1482.9,1505.64,1479.02,1503.83,1488.79,1483.75,1481.97,7981300
12/22/1999,1503.58,1507.71,1494.27,1506.94,1494.74,1487.21,1484.01,5377500
12/23/1999,1504.87,1531.49,1504.61,1530.72,1503.68,1492.51,1486.57,5721700
12/27/1999,1528.13,1536.92,1519.34,1527.87,1510.61,1496.83,1488.52,2691000
12/28/1999,1527.87,1532.53,1520.89,1528.91,1519.65,1501.2,1490.49,4084500
12/29/1999,1528.13,1533.82,1526.32,1532.53,1525.39,1507.09,1491.61,3001000
12/30/1999,1532.78,1550.36,1526.58,1530.97,1530.2,1512.47,1493.13,3641300
12/31/1999,1530.97,1539.25,1526.06,1534.59,1530.97,1517.33,1494.4,3172700
1/3/2000,1539.5,1546.74,1501.51,1516.5,1528.7,1519.65,1495.09,8164300
1/4/2000,1516.76,1518.57,1457.31,1459.63,1514.85,1517.25,1493.91,8089800
1/5/2000,1459.38,1475.66,1431.98,1461.44,1500.63,1513.01,1493.32,12177900
1/6/2000,1458.86,1474.63,1443.09,1451.62,1484.76,1507.48,1492.07,6227200
1/7/2000,1451.36,1511.07,1444.9,1509.26,1479.69,1505.33,1492.54,8066500
1/10/2000,1509.26,1531.23,1504.61,1525.03,1481.4,1505.05,1493.99,5741700
1/11/2000,1523.74,1525.03,1496.08,1503.58,1490.19,1502.52,1494.85,7503700
1/12/2000,1502.8,1509,1487.55,1490.91,1496.08,1498.35,1495.96,6907700
1/13/2000,1490.39,1516.5,1490.14,1508.49,1507.45,1496.11,1497.27,5158300
1/14/2000,1511.07,1535.37,1504.87,1528.13,1511.23,1495.46,1498.9,7437300
1/18/2000,1527.87,1530.46,1511.59,1519.34,1510.09,1495.74,1499.34,6488500
1/19/2000,1518.57,1524,1499.44,1522.44,1513.86,1502.03,1500.32,6157900
1/20/2000,1522.7,1535.37,1497.11,1505.64,1516.81,1506.45,1501.07,5821500
1/21/2000,1504.61,1512.88,1498.41,1503.58,1515.83,1511.64,1502.11,6244800
1/24/2000,1503.32,1518.31,1450.85,1459.63,1502.13,1506.68,1501.51,7896900
1/25/2000,1458.86,1473.08,1444.9,1466.61,1491.58,1500.84,1500.9,9942500
1/26/2000,1465.58,1471.01,1456.02,1463.51,1479.8,1496.83,1500.18,5158100
1/27/2000,1460.41,1476.95,1435.08,1457.57,1470.18,1493.5,1499.65,10922700
1/28/2000,1458.86,1468.16,1407.42,1412.85,1452.04,1483.93,1497.5,11916200
1/31/2000,1411.56,1450.59,1403.03,1448.52,1449.81,1475.97,1496.25,10768700
2/1/2000,1450.33,1469.97,1438.44,1464.8,1449.45,1470.52,1495.3,8419900
2/2/2000,1464.8,1477.99,1457.82,1463.51,1449.45,1464.62,1494.63,6205900
2/3/2000,1463.77,1487.03,1452.91,1485.22,1454.98,1462.58,1494.01,7997500
