Date,Open,High,Low,Close,SMAVG5,SMAVG10,SMAVG30,Volume
2000-01-07,1532.63,1539.83,1425.58,1502.52,1503.76,1488.86,1438.25,42730000
2000-01-14,1502.52,1528.51,1480.91,1521.31,1512.4,1496.66,1441.27,32750000
2000-01-21,1521.05,1528.51,1490.43,1496.86,1514.46,1500.06,1444.44,24710000
2000-01-28,1496.6,1511.53,1401.13,1406.54,1490.99,1491.79,1441.9,45840000
2000-02-04,1405.25,1491.97,1396.76,1473.44,1480.13,1491.63,1441.3,38320000
2000-02-11,1471.38,1497.37,1424.81,1437.67,1467.16,1485.46,1439.04,35840000
2000-02-18,1437.16,1456.2,1388.53,1392.9,1441.48,1476.94,1437.56,45450000
2000-02-25,1395.73,1414.52,1370,1377.2,1417.55,1466.01,1436.65,56470000
2000-03-03,1376.69,1455.94,1366.4,1452.08,1426.66,1458.83,1439.14,48880000
2000-03-10,1452.86,1457.34,1388.01,1440.57,1420.09,1450.11,1440.3,57260000
2000-03-17,1439.56,1521.86,1396.63,1512.97,1435.15,1451.16,1443.59,64980000
2000-03-24,1509.92,1599.59,1486.81,1580.54,1472.68,1457.08,1448.77,57490000
2000-03-31,1577.24,1579.53,1517.54,1539.64,1505.16,1461.36,1452.19,40620000
2000-04-07,1538.37,1569.62,1454.04,1553.62,1525.47,1476.07,1456.35,50200000
2000-04-14,1555.14,1568.86,1368.69,1389.52,1515.26,1467.67,1455.69,71240000
2000-04-21,1388.75,1483.5,1363.86,1470.55,1506.77,1470.96,1459.89,50080000
2000-04-28,1465.98,1519.32,1439.81,1483.5,1487.37,1480.02,1464.36,59170000
2000-05-05,1482.49,1516.78,1427.11,1462.17,1471.87,1488.52,1466.28,43200000
2000-05-12,1461.66,1462.93,1404.76,1453.78,1451.9,1488.69,1471.06,34030000
2000-05-19,1452.51,1502.56,1429.65,1437.78,1461.56,1488.41,1473.55,29380000
2000-05-26,1435.75,1446.16,1387.48,1403.49,1448.14,1477.46,1472.49,43000000
